seqname	start	stop	strand	gene_id	gene_biotype	gene_name
1	108344807	108347562	+	ENSMUSG00000104478	TEC	Gm38212
1	6980784	6981446	+	ENSMUSG00000104385	processed_pseudogene	Gm7449
1	108540067	108540244	-	ENSMUSG00000101231	processed_pseudogene	Gm28283
1	6986783	6993812	+	ENSMUSG00000102135	processed_pseudogene	Gm37108
1	6999983	7000012	+	ENSMUSG00000103282	processed_pseudogene	Gm37275
1	108697865	108699733	+	ENSMUSG00000101097	processed_pseudogene	Gm6679
1	43781121	43783055	-	ENSMUSG00000100764	lncRNA	Gm29155
1	7068441	7068765	+	ENSMUSG00000102534	processed_pseudogene	Gm37225
1	108925364	108926490	-	ENSMUSG00000100831	processed_pseudogene	Gm17847
1	109502673	109502859	-	ENSMUSG00000100884	processed_pseudogene	Gm28281
1	43782075	43782686	+	ENSMUSG00000100635	lncRNA	Gm29157
1	7083986	7084144	+	ENSMUSG00000102213	processed_pseudogene	Gm37489
1	43784944	43785442	-	ENSMUSG00000100480	lncRNA	Gm29156
1	109550738	109550867	-	ENSMUSG00000089037	snoRNA	Gm22159
1	7106139	7107441	+	ENSMUSG00000103629	processed_pseudogene	Gm5694
1	109732490	109732774	+	ENSMUSG00002076531	misc_RNA	Gm54681
1	109760754	109762476	+	ENSMUSG00000100025	processed_pseudogene	Gm8141
1	7159144	7243852	+	ENSMUSG00000051285	protein_coding	Pcmtd1
1	7206423	7206810	-	ENSMUSG00000098201	processed_pseudogene	Gm26983
1	7218334	7222361	+	ENSMUSG00000103509	TEC	Gm38372
1	7247963	7249261	+	ENSMUSG00000048538	processed_pseudogene	Gm9826
1	7259966	7260143	-	ENSMUSG00000103709	processed_pseudogene	Nras-ps2
1	7336027	7336156	+	ENSMUSG00000077244	snoRNA	Gm23274
1	7385675	7386686	+	ENSMUSG00000102768	processed_pseudogene	Gm19002
1	7419630	7468093	-	ENSMUSG00000097797	lncRNA	Gm26901
1	7480903	7482217	+	ENSMUSG00000103498	processed_pseudogene	Gm18984
1	7568192	7588373	+	ENSMUSG00000103067	lncRNA	Gm30414
1	7661870	7662155	+	ENSMUSG00000102320	processed_pseudogene	Gm37791
1	7667603	7669697	+	ENSMUSG00000104226	processed_pseudogene	Gm7470
1	7734305	7735185	+	ENSMUSG00000103903	processed_pseudogene	Rps2-ps2
1	7799085	7800789	-	ENSMUSG00000103557	processed_pseudogene	Gm38216
1	109910161	110067887	+	ENSMUSG00000026312	protein_coding	Cdh7
1	110338473	110339010	-	ENSMUSG00000100290	processed_pseudogene	Gm18552
1	110403333	110404260	+	ENSMUSG00000100758	processed_pseudogene	Gm3332
1	110527751	110528563	+	ENSMUSG00000099926	processed_pseudogene	Gm6693
1	175708147	175741055	+	ENSMUSG00000039748	protein_coding	Exo1
1	175732111	175732217	+	ENSMUSG00000118715	snRNA	Gm23805
1	175747895	175749791	+	ENSMUSG00000104158	protein_coding	Becn2
1	175783021	175784964	-	ENSMUSG00000103540	TEC	Gm37668
1	43786126	43866960	-	ENSMUSG00000057363	protein_coding	Uxs1
1	110816056	110905314	-	ENSMUSG00000047216	protein_coding	Cdh19
1	110885561	110888556	-	ENSMUSG00000102788	TEC	Gm38255
1	110892409	110895167	-	ENSMUSG00000102160	TEC	Gm36944
1	111313420	111374375	-	ENSMUSG00000101253	lncRNA	Gm29088
1	111313648	111314428	+	ENSMUSG00000101846	processed_pseudogene	Gm19927
1	43825070	43826348	+	ENSMUSG00000090243	processed_pseudogene	Gm16103
1	43927211	43927755	+	ENSMUSG00000100701	processed_pseudogene	Gm19587
1	111732664	111735505	-	ENSMUSG00000100555	processed_pseudogene	Gm8173
1	43937454	43938269	+	ENSMUSG00000101395	processed_pseudogene	Gm8241
1	111761553	111761954	+	ENSMUSG00000102728	TEC	Gm37934
1	43942088	43942212	+	ENSMUSG00000088848	snoRNA	Gm26352
1	43957937	43958046	-	ENSMUSG00002075225	miRNA	Gm54687
1	111786432	111792648	-	ENSMUSG00000038702	protein_coding	Dsel
1	111808465	111809038	-	ENSMUSG00000101875	processed_pseudogene	Gm6028
1	111977166	111984840	-	ENSMUSG00000099732	processed_pseudogene	Gm17752
1	112065598	112066435	+	ENSMUSG00000101220	processed_pseudogene	Gm6717
1	112078819	112079483	+	ENSMUSG00000100020	processed_pseudogene	Gm19086
1	112331917	112332585	-	ENSMUSG00000101054	processed_pseudogene	Gm18406
1	112395641	112395776	+	ENSMUSG00000088691	snoRNA	Gm22331
1	112801575	112803718	-	ENSMUSG00000099884	processed_pseudogene	Gm8204
1	112893272	112894661	-	ENSMUSG00000100304	processed_pseudogene	Gm28190
1	113217070	113218095	+	ENSMUSG00000101453	lncRNA	Gm28189
1	113493176	113493713	-	ENSMUSG00000102105	processed_pseudogene	Gm17946
1	113510501	113511236	-	ENSMUSG00000099943	processed_pseudogene	Gm18181
1	113645644	113645777	-	ENSMUSG00002075119	snoRNA	Gm54688
1	113819115	113891864	-	ENSMUSG00000097648	lncRNA	9330185C12Rik
1	115146920	115147493	-	ENSMUSG00000101687	processed_pseudogene	Gm4854
1	115596718	115612354	-	ENSMUSG00000100515	transcribed_processed_pseudogene	Gm17916
1	175789872	176102878	-	ENSMUSG00000055214	protein_coding	Pld5
1	175805343	175806680	-	ENSMUSG00000078184	protein_coding	Rbm8a2
1	175858645	175860289	-	ENSMUSG00000104363	TEC	Gm38081
1	176006767	176009201	+	ENSMUSG00000103277	TEC	Gm37916
1	176103779	176107335	+	ENSMUSG00000104157	lncRNA	Gm38101
1	176166693	176167209	-	ENSMUSG00000102446	processed_pseudogene	Gm17965
1	176197721	176201286	-	ENSMUSG00000104248	TEC	Gm38152
1	176257677	176354839	-	ENSMUSG00000104021	lncRNA	Gm36536
1	176469463	176470124	-	ENSMUSG00000103471	processed_pseudogene	Gm17966
1	176528183	176528290	+	ENSMUSG00000087875	snRNA	Gm26104
1	75427080	75450987	+	ENSMUSG00000033007	protein_coding	Asic4
1	115612486	116515053	+	ENSMUSG00000070695	protein_coding	Cntnap5a
1	8431699	9370103	-	ENSMUSG00000025909	protein_coding	Sntg1
1	116322072	116322143	-	ENSMUSG00002076179	miRNA	Gm54703
1	116561507	116561906	+	ENSMUSG00000102033	processed_pseudogene	Gm28263
1	8521184	8523715	-	ENSMUSG00000102647	TEC	Gm38024
1	8538650	8539049	-	ENSMUSG00000086235	processed_pseudogene	Gm16284
1	8598004	8601537	-	ENSMUSG00000102253	TEC	Gm38259
1	8658839	8658948	-	ENSMUSG00002074990	miRNA	Gm54704
1	116730713	116751140	+	ENSMUSG00000094429	protein_coding	Gm19965
1	8713920	8715083	-	ENSMUSG00000103884	TEC	Gm37005
1	8862147	8862386	-	ENSMUSG00000084353	processed_pseudogene	Gm15452
1	8886066	8886263	+	ENSMUSG00000103933	processed_pseudogene	Gm36964
1	8886362	8886471	+	ENSMUSG00002075967	miRNA	Gm54706
1	8926152	8926491	-	ENSMUSG00000086195	processed_pseudogene	Gm6152
1	8926987	8927326	+	ENSMUSG00000104504	processed_pseudogene	Gm7445
1	9033220	9033845	-	ENSMUSG00000066693	processed_pseudogene	Gm7493
1	9261292	9262341	-	ENSMUSG00000102316	TEC	Gm37629
1	9328842	9329359	-	ENSMUSG00000103819	processed_pseudogene	Gm38008
1	9357147	9360405	+	ENSMUSG00000102871	TEC	Gm37143
1	9466998	9468912	-	ENSMUSG00000101571	processed_pseudogene	Gm6187
1	9509966	9510601	-	ENSMUSG00000104428	processed_pseudogene	Gm18299
1	9520804	9521973	+	ENSMUSG00000102272	processed_pseudogene	Gm7512
1	9528895	9528997	+	ENSMUSG00000065625	snRNA	Gm24765
1	9569563	9571747	-	ENSMUSG00000103411	processed_pseudogene	Gm18300
1	9615633	9617680	+	ENSMUSG00000061024	protein_coding	Rrs1
1	118104272	118130037	+	ENSMUSG00000102030	protein_coding	Gm29106
1	9618173	9650898	+	ENSMUSG00000025911	protein_coding	Adhfe1
1	9644773	9645874	+	ENSMUSG00000081441	processed_pseudogene	Gm6161
1	9671424	9697368	+	ENSMUSG00000067879	protein_coding	Vxn
1	9709480	9710807	-	ENSMUSG00000099827	lncRNA	Gm29520
1	176561219	176641633	-	ENSMUSG00000057335	protein_coding	Cep170
1	176573130	176574548	-	ENSMUSG00000103634	TEC	3110062G12Rik
1	176579087	176580981	-	ENSMUSG00000104154	TEC	Gm38104
